,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
2344,Lakeshore Lodge - 2 North,3197 Lakeshore Blvd,LTCH,Respiratory,Coronavirus,2022-12-31,2023-01-20,Inactive,-79.51846783100001,43.597066749999996
2345,The Teddington - 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Respiratory syncytial virus,2022-12-31,2023-01-09,Inactive,-79.4040004,43.733129
2346,Delmanor Prince Edward - Etobicoke - 6th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-12-30,2023-01-13,Inactive,-79.50993406250001,43.6609728625
2347,Hellenic Home - 2B & 3B,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-12-30,2023-02-02,Inactive,-79.2746356,43.7493249
2348,Kennedy Lodge - Main North 1st Fl,1400 Kennedy Rd,LTCH,Respiratory,Respiratory syncytial virus,2022-12-30,2023-01-13,Inactive,-79.28034723089634,43.763144877160734
2349,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-12-30,2023-01-09,Inactive,-79.3792695,43.7235801
2350,Westside - Etobicoke - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-12-30,2023-01-10,Inactive,-79.5667899,43.7373503
2351,Cummer Lodge - 3 South & Main Fl (SCU),205 Cummer Ave,LTCH,Respiratory,Coronavirus,2022-12-29,2023-01-18,Inactive,-79.40816758965518,43.78889555517242
2352,Kipling Acres - 1S (Humber & Pinepoint) & 2S (Elms),2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2022-12-29,2023-01-25,Inactive,-79.571631,43.725014
2353,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-29,2023-01-23,Inactive,-79.40424676206896,43.789755968965515
2354,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Road,LTCH,Respiratory,Coronavirus,2022-12-29,2023-01-25,Inactive,-79.5200627,43.6838785
2355,Unity Health Toronto - Providence - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-29,2023-01-18,Inactive,-79.2861565,43.7135926
2356,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-29,2023-01-11,Inactive,-79.450101,43.639359
2357,Yee Hong Centre - Scarborough McNicoll - 2nd Fl,2311 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-12-29,2023-01-16,Inactive,-79.2899939,43.8144476
2358,Cedarvale Terrace - 2nd Fl,429 Walmer Road,LTCH,Respiratory,Coronavirus,2022-12-28,2023-01-19,Inactive,-79.412483,43.685423
2359,"Chartwell White Eagle Long Term Care Residence - 2nd, 3rd & 4th Fl",138 Dowling Ave,LTCH,Respiratory,Coronavirus,2022-12-28,2023-01-16,Inactive,-79.439009,43.637221
2360,Craiglee Nursing Home - 3rd Fl West,102 Craiglee Dr,LTCH,Enteric,Unable to identify,2022-12-28,2023-01-05,Inactive,-79.2528019,43.7067792
2361,Sunnybrook Health Sciences Centre - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE,2022-12-28,2023-01-16,Inactive,-79.3792695,43.7235801
2362,Unity Health Toronto - Providence - B3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-28,2023-01-11,Inactive,-79.2861565,43.7135926
2363,Valleyview Residence - 4 East,541 Finch Ave W,LTCH,Respiratory,Coronavirus,2022-12-28,2023-01-17,Inactive,-79.4482104,43.7727096
2364,West Park Long Term Care Centre - Hughes & Prittie,82 Buttonwood Avenue,LTCH,Respiratory,Coronavirus,2022-12-28,2023-01-14,Inactive,-79.5098225,43.687805
2365,Chartwell Lansing Retirement Residence - 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,Coronavirus,2022-12-27,2023-01-18,Inactive,-79.4227967,43.7590704
2366,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-27,2023-01-19,Inactive,-79.450101,43.639359
2367,Cummer Lodge - 4 South & North,205 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-12-26,2023-01-14,Inactive,-79.40816758965518,43.78889555517242
2368,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-12-26,2023-01-04,Inactive,-79.43074080619229,43.6403384
2369,Extendicare Guildwood - West Unit,60 Guildwood Pky,LTCH,Enteric,Norovirus-like,2022-12-26,2023-01-03,Inactive,-79.203089,43.7462823
2370,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A,2022-12-26,2023-01-16,Inactive,-79.3957197,43.6732425
2371,North York General Hospital - General Site - 6N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-26,2023-01-05,Inactive,-79.362213,43.7699003
2372,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,2022-12-25,2023-01-13,Inactive,-79.3904512,43.7932278
2373,Hellenic Care for Seniors,215 Tyrrel Avenue,LTCH,Respiratory,Coronavirus,2022-12-24,2023-01-23,Inactive,-79.4297725,43.6768778
2374,Midland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2022-12-24,2023-01-31,Inactive,-79.2469846,43.7077593
2375,North Park Nursing Home - 1st & 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Respiratory syncytial virus,2022-12-24,2023-01-06,Inactive,-79.48187197868482,43.71729432043269
2376,Cedarbrook Lodge TCU - 6th Fl,520 Markham Rd,Retirement Home,Enteric,Norovirus-like,2022-12-23,2023-01-10,Inactive,-79.2241579,43.7554562
2377,Centre For Addiction and Mental Health - Queen Street Site - Unit 3-5/ATU,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-12-23,2023-01-12,Inactive,-79.4186199,43.6438339
2378,Pine Villa Seniors Transitional Care - 2nd & 3rd Fl (Sprint),1035 Eglinton Avenue W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-23,2023-01-09,Inactive,-79.4326308,43.6993415
2379,RCC - Humber River Hospital - Finch Site - 6 East,2111 Finch Avenue West,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-23,2023-01-08,Inactive,-79.5260221,43.7536378
2380,University Health Network - Toronto Western - 6AB,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-23,2023-01-06,Inactive,-79.4059789,43.6537982
2381,Yee Hong Centre - Scarborough Finch - 5th Fl North,60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2022-12-23,2023-01-16,Inactive,-79.25453972658863,43.8086905
2382,New Horizons Tower - 3rd Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-12-22,2023-01-02,Inactive,-79.43604266376147,43.659954600000006
2383,Scarborough Health Network - Scarborough General - Satellite Transitional Care Unit,1029 McNicoll Ave,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-22,2023-01-01,Inactive,-79.33559927720745,43.80410305995278
2384,Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl CCC,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2022-12-22,2022-12-28,Inactive,-79.562235,43.610033
2385,University Health Network - Toronto General - 8ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-22,2022-12-31,Inactive,-79.3869528,43.6583672
2386,"Hawthorne Place Care Centre - 1st Fl, 3rd Fl & Convalescent Unit",2045 Finch Ave W,LTCH,Respiratory,Influenza A,2022-12-21,2023-01-04,Inactive,-79.5222631,43.7562487
2387,Hillcrest Reactivation Centre - 3rd Fl,47 Austin Terr,Transitional Care,Respiratory,Coronavirus,2022-12-21,2023-01-05,Inactive,-79.415943,43.678115
2388,Sts. Peter and Paul Residence - 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,Coronavirus,2022-12-21,2023-01-03,Inactive,-79.240031,43.7887289
2389,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-21,2023-01-12,Inactive,-79.4059789,43.6537982
2390,"Cedarbrook Lodge Retirement Residence - 2nd, 3rd & 5th Fl",520 Markham Rd,Retirement Home,Enteric,Norovirus-like,2022-12-20,2023-01-05,Inactive,-79.2241579,43.7554562
2391,Sinai Health System - Hennick Bridgepoint - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-20,2023-01-03,Inactive,-79.3554469,43.6658608
2392,Unity Health Toronto - Houses of Providence - HOP 3W,3276 St. Clair Ave E,LTCH,Respiratory,Respiratory syncytial virus,2022-12-20,2022-12-26,Inactive,-79.2861565,43.7135926
2393,Unity Health Toronto - Houses of Providence - HOP 4W Oak & Willow,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-12-20,2023-01-09,Inactive,-79.2861565,43.7135926
2394,Chester Village - 2W,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2022-12-19,2023-01-16,Inactive,-79.27409672758621,43.69413068275862
2395,Runnymede Healthcare Centre - 3 West,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-19,2023-01-06,Inactive,-79.481008,43.664497
2396,Sinai Health System - Mount Sinai - 10N,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-19,2023-01-08,Inactive,-79.390445,43.657536
2397,Sinai Health System - Mount Sinai - 9S,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-19,2023-01-02,Inactive,-79.390445,43.657536
2398,Bendale Acres - 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A,2022-12-18,2022-12-30,Inactive,-79.2516534,43.7543919
2399,Norfinch Care Community - Unit 3B,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2022-12-18,2023-01-04,Inactive,-79.52465315351665,43.75628127207558
2400,University Health Network - Transitional Care Program - Queens Estate - 6th Fl,265 Queens Dr,Transitional Care,Respiratory,Coronavirus,2022-12-18,2023-01-10,Inactive,-79.504314,43.707185
2401,Unity Health Toronto - Providence - A5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-17,2023-01-07,Inactive,-79.2861565,43.7135926
2402,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Coronavirus,2022-12-17,2023-02-04,Inactive,-79.502215,43.70758
2403,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 3rd Fl,500 Kingston Rd,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-16,2022-12-25,Inactive,-79.3026915478865,43.6778819
2404,Fieldstone Commons Care Community - 3rd Fl (3A),1000 Ellesmere Rd,LTCH,Enteric,Unable to identify,2022-12-16,2022-12-29,Inactive,-79.277814,43.766995
2405,Harold And Grace Baker Centre - A-Wing,1 Northwestern Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-12-16,2023-01-13,Inactive,-79.4688897,43.6987718
2406,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-16,2023-01-03,Inactive,-79.450101,43.639359
2407,West Park Long Term Care Centre - Glenwyld House,82 Buttonwood Avenue,LTCH,Respiratory,Coronavirus,2022-12-16,2023-01-09,Inactive,-79.5098225,43.687805
2408,Centre for Addiction and Mental Health - Queen Street Site - PRT7,1001 Queen Street West,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-15,2022-12-25,Inactive,-79.4186199,43.6438339
2409,Mon Sheong Scarborough Long Term Care Centre - 2 North & 2 South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-12-15,2023-01-05,Inactive,-79.2994857,43.8128599
2410,Unity Health Toronto - St. Michael's - 14CG,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-15,2022-12-23,Inactive,-79.3784327,43.6542289
2411,Michael Garron Hospital - H7,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-14,2022-12-20,Inactive,-79.3236782,43.6896572
2412,Shepherd Lodge - 5th Fl South & 6th Fl North,3760 Sheppard Avenue East,LTCH,Respiratory,Coronavirus,2022-12-14,2023-01-29,Inactive,-79.294078,43.782836
2413,Unity Health Toronto - Houses of Providence - 2 West,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-12-14,2022-12-23,Inactive,-79.2861565,43.7135926
2414,University Health Network - Toronto General - 9ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-14,2023-01-02,Inactive,-79.3869528,43.6583672
2415,Valleyview Residence - 4 West,541 Finch Ave W,Retirement Home,Respiratory,Unable to identify,2022-12-14,2023-01-05,Inactive,-79.4482104,43.7727096
2416,Altamont Care Community - Wing 4,92 Island Rd,LTCH,Respiratory,Coronavirus,2022-12-13,2022-12-26,Inactive,-79.13997840570175,43.7988385
2417,Chartwell Guildwood Retirement Residence - Memory Living,65 Livingston Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2022-12-13,2022-12-22,Inactive,-79.1980788,43.7451732
2418,Extendicare Scarborough - 2 East,3830 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-12-13,2022-12-27,Inactive,-79.210221,43.763575
2419,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2022-12-13,2023-01-11,Inactive,-79.373735,43.666208
2420,The Sumach by Chartwell - 7th Fl,146 Sumach St,Retirement Home,Respiratory,Coronavirus,2022-12-13,2022-12-22,Inactive,-79.35994,43.658768
2421,Unity Health Toronto - Houses of Providence - 1W - Balsam House,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-12-13,2023-01-02,Inactive,-79.2861565,43.7135926
2422,Unity Health Toronto - Providence - A4,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-13,2022-12-23,Inactive,-79.2861565,43.7135926
2423,Chartwell Scarlett Heights Retirement Residence - 3rd Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-12-12,2022-12-23,Inactive,-79.5125369,43.6836338
2424,Cummer Lodge - 4th Fl,205 Cummer Ave,LTCH,Respiratory,Influenza A,2022-12-12,2022-12-21,Inactive,-79.40816758965518,43.78889555517242
2425,"Fudger House - 1 East, 1 West & 2 West",439 Sherbourne St,LTCH,Respiratory,Respiratory syncytial virus,2022-12-12,2023-01-18,Inactive,-79.373735,43.666208
2426,Runnymede Healthcare Centre - 3E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-12,2023-01-01,Inactive,-79.481008,43.664497
2427,Sunnybrook Health Sciences Centre - Bayview Campus - C2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-12,2022-12-22,Inactive,-79.3792695,43.7235801
2428,The Annex - 4th Fl,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,2022-12-12,2022-12-17,Inactive,-79.405505,43.67175
2429,The Dunfield Retirement Residence - 4th Fl,77 Dunfield Ave,Retirement Home,Respiratory,Parainfluenza,2022-12-12,2022-12-20,Inactive,-79.3950841875,43.7066295625
2430,"The Kensington Gardens - 1E, 2E & 3E",25 Brunswick Ave,LTCH,Respiratory,Influenza A,2022-12-12,2023-01-01,Inactive,-79.40368867487679,43.6581346
2431,Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2022-12-12,2022-12-19,Inactive,-79.562235,43.610033
2432,Chartwell Westbury Long Term Care Residence - 3rd Fl,495 The West Mall,LTCH,Respiratory,Respiratory syncytial virus,2022-12-11,2022-12-21,Inactive,-79.567866,43.648303
2433,"Copernicus Lodge - 2S, 3S & 2N",66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2022-12-11,2023-01-03,Inactive,-79.447337,43.640435
2434,Sunnybrook Health Sciences Centre - Bayview Campus - K3C Complex Malignant Haematology Unit,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-11,2022-12-20,Inactive,-79.3792695,43.7235801
2435,Unity Health Toronto - St. Joseph's - 2M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-11,2022-12-20,Inactive,-79.450101,43.639359
2436,Chartwell Westbury Long Term Care Residence - 3rd Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-12-10,2022-12-28,Inactive,-79.567866,43.648303
2437,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Coronavirus,2022-12-10,2023-01-09,Inactive,-79.5994248,43.7307129
2438,Copernicus Lodge - 5th Fl,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A,2022-12-09,2022-12-18,Inactive,-79.447337,43.640435
2439,Extendicare Rouge Valley - 2nd Fl Morningside,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2022-12-09,2023-01-03,Inactive,-79.1894286,43.8029937
2440,"Fieldstone Commons Care Community - 2B, 3B & 4B",1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2022-12-09,2023-01-27,Inactive,-79.277814,43.766995
2441,"Kensington Gardens - South Building - 1E, 2E & 2W",25 Brunswick Ave,LTCH,Enteric,Unable to identify,2022-12-09,2022-12-15,Inactive,-79.40368867487679,43.6581346
2442,"Lakeshore Lodge - 3N, 4S & 4N",3197 Lakeshore Blvd,LTCH,Respiratory,Coronavirus,2022-12-09,2023-01-03,Inactive,-79.51846783100001,43.597066749999996
2443,University Health Network - Toronto General - 7MA,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-09,2022-12-20,Inactive,-79.3869528,43.6583672
2444,West Park Healthcare Centre - ABI (Acquired Brain Injury),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-09,2022-12-19,Inactive,-79.5098225,43.687805
2445,"Ehtare Retirement Home - 1st, 2nd & 3rd Fl",40 Old Kingston Rd,Retirement Home,Enteric,Norovirus-like,2022-12-08,2022-12-26,Inactive,-79.1825648,43.7754026
2446,Extendicare Rouge Valley - 2nd Fl Cedar Ridge & 3rd Fl Meadowvale,551 Conlins Rd,LTCH,Respiratory,Respiratory syncytial virus,2022-12-08,2023-01-03,Inactive,-79.1894286,43.8029937
2447,"Lakeshore Lodge - 2 North, 3 North, 3 South & 4 South",3197 Lakeshore Blvd,LTCH,Respiratory,Influenza A,2022-12-08,2022-12-20,Inactive,-79.51846783100001,43.597066749999996
2448,"Seven Oaks - 2nd, 4th & 5th Fl",9 Neilson Rd,LTCH,Respiratory,Coronavirus,2022-12-08,2023-01-20,Inactive,-79.2034339,43.7794412
2449,Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,Coronavirus,2022-12-08,2022-12-22,Inactive,-79.37243630597754,43.662702249999995
2450,The Teddington Retirement Residence - 2nd & 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Respiratory syncytial virus,2022-12-08,2022-12-24,Inactive,-79.4040004,43.733129
2451,Bendale Acres - 1W/CSU & 2nd Fl East,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-12-07,2022-12-28,Inactive,-79.2516534,43.7543919
2452,Isabel and Arthur Meighen Manor - Coombs Unit,155 Millwood Rd,LTCH,Respiratory,Coronavirus,2022-12-07,2022-12-16,Inactive,-79.39273938941177,43.70006920470588
2453,Rose of Sharon Korean Long Term Care - 5th & 6th Fl,17 Maplewood Ave,LTCH,Respiratory,Coronavirus,2022-12-07,2023-01-13,Inactive,-79.4217949,43.6858942
2454,Sinai Health System - Hennick Bridgepoint - 9N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-07,2022-12-23,Inactive,-79.3554469,43.6658608
2455,St. Bernard's Residence - 3rd Fl,685 Finch Avenue,Retirement Home,Respiratory,Coronavirus,2022-12-07,2022-12-23,Inactive,-79.456886,43.770522
2456,Unity Health Toronto - Providence - B3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-07,2022-12-16,Inactive,-79.2861565,43.7135926
2457,Hazelton Place Retirement Residence - 2nd & 6th Fl,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-12-06,2022-12-22,Inactive,-79.3957197,43.6732425
2458,Humber River Hospital - Wilson - 13 West,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-06,2022-12-17,Inactive,-79.4894019,43.7227577
2459,True Davidson Acres - 3rd & 4th Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2022-12-06,2023-01-19,Inactive,-79.298175,43.69582
2460,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl East,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-05,2022-12-20,Inactive,-79.3026915478865,43.6778819
2461,One Kenton Place - Activities Rm Main Fl & 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Rhinovirus,2022-12-05,2022-12-12,Inactive,-79.4420782,43.7785118
2462,RCC - Mackenzie Health Hospital - Finch Site - 3 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-05,2022-12-23,Inactive,-79.5260221,43.7536378
2463,"The Village of Humber Heights - Alderwood, Brule & Lambton",2245 Lawrence Ave W,LTCH,Respiratory,Influenza A,2022-12-05,2022-12-22,Inactive,-79.527245,43.6972121
2464,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-12-05,2022-12-17,Inactive,-79.3869528,43.6583672
2465,Unity Health Toronto - Houses of Providence - Maple House - 1st Fl West,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2022-12-04,2022-12-29,Inactive,-79.2861565,43.7135926
2467,"The Village of Humber Heights - Lambton, Islington, Weston, Brule, Wadsworth & Alderwood",2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-12-03,2023-01-30,Inactive,-79.527245,43.6972121
2468,Villa Colombo Homes for the Aged - 1st Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Coronavirus,2022-12-03,2022-12-21,Inactive,-79.45668174072816,43.71094909999999
2469,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-12-02,2022-12-13,Inactive,-79.43074080619229,43.6403384
2470,Harold and Grace Baker Centre - 3rd Fl,1 Northwestern Avenue,Retirement Home,Respiratory,Coronavirus,2022-12-02,2022-12-20,Inactive,-79.4688897,43.6987718
2471,William Osler Health System - NICU,101 Humber College Blvd,Hospital-Acute Care,Other,Unable to identify,2022-12-02,2022-12-21,Inactive,-79.5991896,43.7306053
2472,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2022-12-01,2022-12-20,Inactive,-79.3026915478865,43.6778819
2473,Mon Sheong Scarborough Long Term Care Centre - 3 South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-12-01,2022-12-11,Inactive,-79.2994857,43.8128599
2474,Toronto East Health Network - Michael Garron Hospital - B2,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A,2022-12-01,2022-12-15,Inactive,-79.3236782,43.6896572
2475,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2022-11-30,2022-12-09,Inactive,-79.42113793274277,43.673349
2476,Extendicare Guildwood - East Wing & West Wing Spur 1,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2022-11-30,2022-12-14,Inactive,-79.203089,43.7462823
2477,Isabel and Arthur Meighen Manor - Lawrence & Fisher Unit,155 Millwood Rd,LTCH,Respiratory,Influenza A,2022-11-30,2022-12-16,Inactive,-79.39273938941177,43.70006920470588
2479,Nisbet Lodge - 3rd & 6th Fl,740 Pape Ave,LTCH,Respiratory,Respiratory syncytial virus,2022-11-30,2022-12-30,Inactive,-79.3456271,43.6804485
2480,Rayoak Place - 1st Fl,1340 York Mills Rd,Retirement Home,Respiratory,Coronavirus,2022-11-30,2022-12-18,Inactive,-79.320071,43.76317
2481,Suomi Koti Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Unable to identify,2022-11-30,2022-12-16,Inactive,-79.3669906,43.7129848
2482,Terraces of Baycrest - 5th Fl,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2022-11-30,2022-12-15,Inactive,-79.4410166,43.7294379
2483,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A,2022-11-30,2022-12-06,Inactive,-79.51072231818182,43.70133497272727
2484,Baycrest Hospital - North York - 6W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-29,2022-12-08,Inactive,-79.4361036,43.7292745
2485,Canterbury Place Retirement Residence - 5th Fl,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A,2022-11-29,2022-12-05,Inactive,-79.4141725,43.7719895
2486,Fountain View Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2022-11-29,2022-12-19,Inactive,-79.30522822012195,43.7204409
2487,Kipling Acres - 3S Alders,2233 Kipling Ave,LTCH,Enteric,Unable to identify,2022-11-29,2022-12-09,Inactive,-79.571631,43.725014
2488,Sinai Health System - Hennick Bridgepoint - 10N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-29,2022-12-10,Inactive,-79.3554469,43.6658608
2489,Sinai Health System - Hennick Bridgepoint - 8S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-11-29,2022-12-14,Inactive,-79.3554469,43.6658608
2490,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-11-29,2022-12-11,Inactive,-79.3792695,43.7235801
2491,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2022-11-29,2022-12-09,Inactive,-79.3792695,43.7235801
2492,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2022-11-29,2022-12-07,Inactive,-79.450101,43.639359
2493,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A,2022-11-29,2022-12-08,Inactive,-79.5667899,43.7373503
2494,"Delmanor Northtown - 2nd, 4th & 5th Fl",5351 Yonge St,Retirement Home,Respiratory,Coronavirus,2022-11-28,2022-12-12,Inactive,-79.4142461,43.7752997
2495,Harold And Grace Baker Centre - A-Wing,1 Northwestern Ave,LTCH,Enteric,Unable to identify,2022-11-28,2022-12-02,Inactive,-79.4688897,43.6987718
2496,Harold and Grace Baker Centre,1 Northwestern Ave,Retirement Home,Respiratory,Unable to identify,2022-11-28,2022-12-21,Inactive,-79.4688897,43.6987718
2497,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,2022-11-28,2022-12-13,Inactive,-79.4688897,43.6987718
2498,"Leaside Retirement Residence - Building 10, 3rd, 5th & 7th Fl",10-14 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2022-11-28,2022-12-19,Inactive,-79.341558,43.709353
2499,Mon Sheong Foundation - 3 South,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2022-11-28,2022-12-10,Inactive,-79.2994857,43.8128599
