,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
2622,Centre For Addiction and Mental Health - Queen Street Site - Unit 1-2,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-10-27,2022-11-15,Inactive
2623,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-10-27,2022-11-27,Inactive
2624,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-14,Inactive
2625,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-10,Inactive
2626,University Health Network - Toronto General - 6MA,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-11,Inactive
2627,West Park Healthcare Centre - 2EC (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-27,2022-11-13,Inactive
2628,Amica Bayview Gardens - 2nd Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2022-10-26,2022-11-11,Inactive
2629,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2022-10-26,2022-11-14,Inactive
2630,Norfinch Care Community - Unit 2A,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2022-10-26,2022-10-31,Inactive
2631,Sage Care Retirement Home - POD ABC 2nd Fl & 3rd Fl,147 Elder St,Retirement Home,Respiratory,Metapneumovirus,2022-10-26,2022-11-14,Inactive
2632,University Health Network - Toronto General - 13ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-26,2022-11-09,Inactive
2633,Baycrest Hospital - North York - 3 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-11-12,Inactive
2634,Baycrest Hospital - North York - 6 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-11-11,Inactive
2635,Main Street Terrace - 3rd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2022-10-25,2022-11-16,Inactive
2636,"Presentation Manor For Seniors - 1st Fl (AL), 3rd Fl (IL&AL), 4th Fl (IL)",61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-25,Inactive
2637,Terraces of Baycrest - 3rd Fl,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-13,Inactive
2638,The Dunfield Retirement Residence - Library,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-07,Inactive
2639,University Health Network - Bickle Centre - North 5A,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-10-30,Inactive
2640,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-12-04,Inactive
2641,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,2022-10-24,2022-11-10,Inactive
2642,Humber River Hospital - Wilson - 14 East,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-24,2022-11-04,Inactive
2643,The Russell Hill Retirement Residence - 2nd Fl,262 St. Clair Avenue W,Retirement Home,Respiratory,Coronavirus,2022-10-24,2022-11-17,Inactive
2644,Weston Terrace Care Community - 4A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-10-24,2022-11-29,Inactive
2645,"Advent Forestview Retirement Residence - 2nd, 3rd & 4th Fl",537 Finch Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-23,2022-11-10,Inactive
2646,University Health Network - Princess Margaret - 15C,610 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-23,2022-11-02,Inactive
2647,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-06,Inactive
2648,"Greenview Lodge - 1st, 2nd & 3rd Fl",880 Lawrence Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-21,2022-11-07,Inactive
2649,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-10-21,2022-11-08,Inactive
2650,Seven Oaks - Scarborough - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-15,Inactive
2651,The Kensington Gardens - 1W & 2W,25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-14,Inactive
2652,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Coronavirus,2022-10-20,2022-11-05,Inactive
2653,Hazelton Place Retirement Residence - 3rd & 6th Fl,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-14,Inactive
2654,New Horizons Tower - 16th Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-14,Inactive
2655,Shepherd Lodge,3760 Sheppard Avenue East,LTCH,Respiratory,Coronavirus,2022-10-20,2022-12-09,Inactive
2656,"The Millwood - Dining, 3rd & 4th Fl",921 Millwood Road,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-15,Inactive
2657,Dom Lipa,52 Neilson Dr,Retirement Home,Respiratory,Coronavirus,2022-10-19,2022-11-06,Inactive
2658,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,Respiratory syncytial virus,2022-10-19,2022-11-07,Inactive
2659,Scarborough Health Network - Birchmount - 4B,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-19,2022-11-01,Inactive
2660,The Teddington - 2nd & 4th Fl,4 Teddington Park Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-19,2022-11-07,Inactive
2661,Trillium Health Partners - McCall Continuing Care - Chronic/Rehab - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-19,2022-11-15,Inactive
2662,Villa Colombo Homes for the Aged - 1st Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Coronavirus,2022-10-19,2022-11-14,Inactive
2663,William Osler Health System - Etobicoke - 6 West,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-19,2022-10-29,Inactive
2664,Amica On The Avenue - 5th Fl,1066 Avenue Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2022-10-18,2022-10-28,Inactive
2665,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 3rd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-18,2022-11-04,Inactive
2666,Centre For Addiction and Mental Health - Queen Street Site - GAU A,1001 Queen Street West,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-18,2022-10-28,Inactive
2667,"Delmanor Northtown - 2nd, 6th & 7th Fl",5351 Yonge St,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-10-28,Inactive
2668,Don Mills Seniors' Apartments - 2nd Fl,1055-1057 Don Mills Rd,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-10-27,Inactive
2669,Donway Place,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-11-04,Inactive
2670,University Health Network - Princess Margaret - 15B,610 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-18,2022-10-30,Inactive
2671,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Coronavirus,2022-10-17,2022-10-31,Inactive
2672,Scarborough Health Network - Scarborough General - T7 - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-17,2022-10-30,Inactive
2673,"Scarborough Retirement Residence - 2nd, 3rd, 4th, 5th, 6th & 7th Fl",148 Markham Rd,Retirement Home,Enteric,Norovirus-like,2022-10-17,2022-10-31,Inactive
2674,"St. George Care Community - 1st, 2nd, 3rd, 4th & 5th Fl",225 St. George St,LTCH,Respiratory,Coronavirus,2022-10-17,2022-11-18,Inactive
2675,Delmanor Wynford - 3rd & 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2022-10-16,2022-11-03,Inactive
2676,St. Clair O'Connor Community Nursing Home - 3rd Fl (LTCH Area),2701 St Clair Avenue East,LTCH,Respiratory,Coronavirus,2022-10-16,2022-11-03,Inactive
2677,The Annex,123 Spadina Rd,Retirement Home,Respiratory,Coronavirus,2022-10-16,2022-11-04,Inactive
2678,Kipling Acres - 3 South (Thistletown),2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2022-10-15,2022-11-07,Inactive
2679,Scarborough Health Network - Scarborough General - 4C - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-15,2022-11-21,Inactive
2680,University Health Network - Bickle Centre - S5,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-15,2022-11-07,Inactive
2681,Bendale Acres - 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2022-10-14,2022-10-20,Inactive
2682,Chartwell Avondale Retirement Residence - 2nd & 3rd Fl,1238 Queen Street,Retirement Home,Respiratory,Coronavirus,2022-10-14,2022-11-14,Inactive
2683,Harmony Hills Care Community - Toronto - 1A,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2022-10-14,2022-10-31,Inactive
2684,Jewish Home for the Aged - Unit 4E1,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-10-14,2022-11-21,Inactive
2685,Sinai Health System - Mount Sinai - 10N,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-10-27,Inactive
2686,"The O'Neill Centre - 2nd, 3rd & 4th Fl",33 Christie St,LTCH,Respiratory,Coronavirus,2022-10-14,2022-11-29,Inactive
2687,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-10-28,Inactive
2688,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-11-12,Inactive
2689,Cheltenham Care Community - 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2022-10-13,2022-10-29,Inactive
2690,"Hellenic Home - Ground Fl, 2A & 3A",2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-13,2022-11-11,Inactive
2691,"Kensington Place Retirement Residence - 2nd, 3rd, 4th, 5th & 6th Fl",866 Sheppard Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-13,2022-11-07,Inactive
2692,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-13,2022-10-30,Inactive
2693,Unity Health Toronto - Providence - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-13,2022-11-04,Inactive
2694,Castleview Wychwood Towers - 4th & 7th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2022-10-12,2022-11-08,Inactive
2695,Cedarbrook Lodge TCU - Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Transitional Care,Respiratory,Coronavirus,2022-10-12,2022-11-14,Inactive
2696,North York General Hospital - General Site - 7N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-12,2022-10-31,Inactive
2697,One Kenton Place - Programs Rm & 3rd Fl,1 Kenton Dr,Retirement Home,Respiratory,Metapneumovirus,2022-10-12,2022-10-31,Inactive
2698,The Village of Humber Heights - Etobicoke - Becker Fl 3,2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-10-12,2022-10-24,Inactive
2699,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,Coronavirus,2022-10-11,2022-10-21,Inactive
2700,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-11,2022-10-20,Inactive
2701,West Park Healthcare Centre - 2EA (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-11,2022-10-23,Inactive
2702,Extendicare Rouge Valley - Clark House,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2022-10-10,2022-10-21,Inactive
2703,Scarborough Health Network - Scarborough General - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-10,2022-10-30,Inactive
2704,Unity Health Toronto - St. Michael's - 9CCV,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-10,2022-10-26,Inactive
2705,Isabel and Arthur Meighen Manor - Moore Unit,155 Millwood Rd,LTCH,Respiratory,Coronavirus,2022-10-09,2022-10-24,Inactive
2706,The Wexford - 4th & 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-09,2022-11-07,Inactive
2707,Amica Bayview Village,15 Barberry Pl,Retirement Home,Respiratory,Coronavirus,2022-10-08,2022-11-18,Inactive
2708,"Altamont Care Community - Wing 1, 3 & 4",92 Island Rd,LTCH,Respiratory,Coronavirus,2022-10-07,2022-11-07,Inactive
2709,Kingsway - 5th Fl,4251 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-10-07,2022-10-27,Inactive
2710,North York General Hospital - General Site - 6W,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-07,2022-10-16,Inactive
2711,Tendercare Living Centre - 2 West & 2 East,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-10-07,2022-10-29,Inactive
2712,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 5th Fl",520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-10-06,2022-10-31,Inactive
2713,Michael Garron Hospital - CIU,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-06,2022-10-14,Inactive
2714,Presentation Manor For Seniors - 4th Fl(Il),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-10-06,2022-10-18,Inactive
2715,Shepherd Lodge - 4th Fl South,3760 Sheppard Ave E,LTCH,Respiratory,Coronavirus,2022-10-06,2022-10-24,Inactive
2716,Sinai Health System - Hennick Bridgepoint - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-06,2022-10-18,Inactive
2717,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-10-06,2022-11-05,Inactive
2718,Craiglee Nursing Home - 1 West & 2 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2022-10-05,2022-10-14,Inactive
2719,Scarborough Health Network-Scarborough General - 3C Surgery,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-05,2022-10-16,Inactive
2720,University Health Network - Toronto General - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-05,2022-10-24,Inactive
2721,RCC - Humber River Hospital - Church Site - C2N,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-04,2022-10-25,Inactive
2722,RCC - Unity Health Toronto - St. Joseph's - Church Site - 4th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-04,2022-10-16,Inactive
2723,Ukrainian Canadian Care Centre - Etobicoke - 2nd & 3rd Fl,60 Richview Road,LTCH,Respiratory,Coronavirus,2022-10-04,2022-11-01,Inactive
2724,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-03,2022-10-17,Inactive
2725,"Chartwell Gibson Long Term Care Residence - 1st, 2nd, 3rd & 4th Fl",1925 Steeles Ave E,LTCH,Respiratory,Coronavirus,2022-10-03,2022-11-09,Inactive
2726,Chester Village - 4E,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2022-10-03,2022-10-31,Inactive
2727,Runnymede Healthcare Centre - 2 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-03,2022-10-18,Inactive
2728,William Osler Health System - Etobicoke - 7 East,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-03,2022-11-07,Inactive
2729,Castleview Wychwood Towers - 6th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,2022-10-02,2022-10-12,Inactive
2730,Wellesley Central Place - 2E,160 Wellesley St E,LTCH,Respiratory,Coronavirus,2022-10-01,2022-10-31,Inactive
2731,William Osler Health System - Etobicoke - 10 East,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-01,2022-10-16,Inactive
2732,William Osler Health System - Etobicoke - 7 West,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-01,2022-10-19,Inactive
2733,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-15,Inactive
2734,Lakeside Long Term Care Centre - Environmental Services Office & Laundry Area,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-11,Inactive
2735,Mon Sheong Scarborough Long Term Care Centre - 4 South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-14,Inactive
2736,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-29,2022-10-15,Inactive
2737,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Unable to identify,2022-09-28,2022-09-30,Inactive
2738,True Davidson Acres - 1st Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2022-09-28,2022-10-19,Inactive
2739,Unity Health Toronto - St. Michael's - 17th Fl,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-28,2022-10-14,Inactive
2740,Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-09-27,2022-10-12,Inactive
2741,RCC - Southlake Regional Health Centre - Finch Site - 5th Fl,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-27,2022-10-06,Inactive
2742,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2022-09-26,2022-10-14,Inactive
2743,Donway Place - 3rd Fl Independent Living (IL),8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-09-26,2022-10-07,Inactive
2744,Extendicare Bayview - South Unit,550 Cummer Ave,LTCH,Respiratory,Coronavirus,2022-09-26,2022-10-08,Inactive
2745,"Extendicare Scarborough - 1 South, 1 North, 2 Main, 2 East & 2 West",3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-09-26,2022-10-21,Inactive
2746,Deerwood Creek Care Community - Unit 2B & 3A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2022-09-25,2022-10-31,Inactive
2747,Wesburn Manor - 4 North & 4 South,400 The West Mall,LTCH,Respiratory,Coronavirus,2022-09-25,2022-10-26,Inactive
2748,The Salvation Army - Toronto Grace Health Centre - Specialized Care - 5th Fl ALC,1020 McNicoll Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-24,2022-10-22,Inactive
2749,Bendale Acres - 1st Fl (CSU) & 2E,2920 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-09-23,2022-10-07,Inactive
2750,"Chartwell Gibson Retirement Residence - 3rd, 4th & 5th Fl",1955 Steeles Ave E,Retirement Home,Respiratory,Coronavirus,2022-09-23,2022-10-14,Inactive
2751,Chartwell Guildwood Retirement Residence - 1st Fl,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-09-23,2022-10-03,Inactive
2752,Lakeside Long Term Care Home - 3rd Fl,155 Dunn Ave,LTCH,Respiratory,Unable to identify,2022-09-23,2022-10-11,Inactive
2753,Sinai Health System - Mount Sinai - Core Lab (Transfusion Medicine),600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-04,Inactive
2754,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-28,Inactive
2755,William Osler Health System - Etobicoke - 9E,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-04,Inactive
2756,"Lakeshore Lodge - 2 South, 2 North & 3 South",3197 Lakeshore Blvd W,LTCH,Respiratory,Coronavirus,2022-09-21,2022-10-14,Inactive
2757,Sinai Health System - Hennick Bridgepoint - 7S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-21,2022-10-01,Inactive
2758,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd E,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-09-21,2022-09-30,Inactive
2759,"Chartwell Scarlett Heights Retirement Residence - Dining Rm, 2nd, 7th & 8th Fl",4005 Eglinton Avenue W,Retirement Home,Respiratory,Coronavirus,2022-09-20,2022-11-07,Inactive
2760,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-09-20,2022-09-28,Inactive
2761,"The Kensington Gardens - 1E, 2E, 3W & Admin",25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-09-20,2022-10-27,Inactive
2762,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-19,2022-09-29,Inactive
2763,West Park Healthcare Centre - 3EA (MSK Rehab),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-19,2022-10-02,Inactive
2764,Delmanor Wynford - 5th & 6th Fl,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2022-09-18,2022-10-07,Inactive
2765,Sunnybrook Health Sciences Centre - Bayview Campus - C2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-18,2022-10-02,Inactive
2766,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-18,2022-10-03,Inactive
2767,Cedarvale Terrace - 4th Fl,429 Walmer Road,LTCH,Respiratory,Coronavirus,2022-09-17,2022-10-12,Inactive
2768,McNicoll Manor/Moll Berczy Haus - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus,2022-09-17,2022-10-04,Inactive
2769,RCC-Oak Valley Health- Markham Stouffville Hospital - Finch Site - 5W,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-17,2022-10-08,Inactive
2770,Bendale Acres - 4th Fl East,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-09-16,2022-10-24,Inactive
2771,Copernicus Lodge - 4 North & 5 South,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2022-09-16,2022-11-14,Inactive
2772,Midland Gardens Care Community - Basement - Board Rm,130 Midland Ave,LTCH,Respiratory,Coronavirus,2022-09-14,2022-09-23,Inactive
2773,Scarborough Health Network - Centenary - Hemodialysis,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-14,2022-09-28,Inactive
2774,The Kensington Gardens (North) - Administration Office & 2 East,45 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-09-14,2022-10-14,Inactive
2775,Trillium Health Partners-McCall Continuing Care - Chronic/Rehab - 4th Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-13,2022-09-29,Inactive
2776,Altamont Care Community - Wing 1,92 Island Rd,LTCH,Respiratory,Coronavirus,2022-09-12,2022-09-22,Inactive
2777,The Briton House - North Tower - 8th Fl,700 & 720 Mount Pleasant Road,Retirement Home,Respiratory,Coronavirus,2022-09-12,2022-09-27,Inactive
2778,University Health Network - Toronto General - ES 14,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-12,2022-09-27,Inactive
2779,Fairview Nursing Home - 1st & 3rd Fl,14 Cross St,LTCH,Respiratory,Coronavirus,2022-09-11,2022-10-03,Inactive
2780,Salvation Army Toronto Grace Health Centre - PACR - Rehab,650 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-11,2022-09-17,Inactive
2781,Nisbet Lodge - 6th & 7th Fl,740 Pape Ave,LTCH,Respiratory,Coronavirus,2022-09-10,2022-10-03,Inactive
2782,Unity Health Toronto - St. Joseph's - 4LM - Medicine,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-10,2022-09-20,Inactive
2783,Cedarbrook Lodge Retirement Residence - 3rd & 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-09-09,2022-10-03,Inactive
2784,Scarborough Health Network - Birchmount - G4A,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-09,2022-09-22,Inactive
2785,Bethseda Home,4 Partridge Lane,Retirement Home,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive
2786,L'Chaim Retirement Homes Inc. - 2nd & 3rd Fl,718 Sheppard Avenue,Retirement Home,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive
2787,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Coronavirus,2022-09-08,2022-09-26,Inactive
2788,Yee Hong Centre - Scarborough Finch - 3rd Fl (North) & 6th Fl (South & North),60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2022-09-08,2022-12-12,Inactive
2789,Fieldstone Commons Care Community- 4B,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2022-09-07,2022-09-28,Inactive
2790,Trillium Health Partners-McCall Continuing Care - Chronic/Rehab - 2nd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-07,2022-09-29,Inactive
2791,University Health Network - Toronto General - ES 13,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-07,2022-09-18,Inactive
2792,West Park Long Term Care Centre - 2nd Fl - Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Influenza A,2022-09-07,2022-09-20,Inactive
2793,Weston Terrace Care Community - Unit 2B & 3B,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-09-07,2022-10-11,Inactive
2794,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-06,2022-10-04,Inactive
2795,Tapestry at Village Gate West - 3rd Fl,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus,2022-09-06,2022-09-20,Inactive
2796,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-09-06,2022-09-17,Inactive
2797,McCall Centre Long Term Care Interim Unit - Interim Unit,140 Sherway Drive,LTCH,Respiratory,Coronavirus,2022-09-05,2022-09-28,Inactive
2798,The Village of Humber Heights - Williamsburg East - GF,2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-09-05,2022-09-16,Inactive
2799,Deerwood Creek Care Community - 2B,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2022-09-04,2022-09-16,Inactive
2800,Wesburn Manor - 4th Fl North,400 The West Mall,LTCH,Enteric,Norovirus-like,2022-09-04,2022-09-14,Inactive
2801,"Cummer Lodge - 2N, 2S, 4N, 4S & SCU",205 Cummer Ave,LTCH,Respiratory,Coronavirus,2022-09-02,2022-11-06,Inactive
2802,Cedarbrook Lodge TCU - Transitional Care Unit - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,Coronavirus,2022-09-01,2022-09-27,Inactive
2803,Hazelton Place Retirement Residence - 2nd Fl,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-09-01,2022-09-12,Inactive
