,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
2472,Fudger House - 3E,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2022-10-30,2022-11-12,Inactive,-79.373735,43.666208,2022,October,Fall
2473,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl North,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-10-30,2022-11-15,Inactive,-79.2994857,43.8128599,2022,October,Fall
2474,The Heritage Nursing Home - 4th Fl,1195 Queen St E,LTCH,Respiratory,Unable to identify,2022-10-30,2022-11-08,Inactive,-79.3316241,43.66280613333333,2022,October,Fall
2475,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-30,2022-11-17,Inactive,-79.450101,43.639359,2022,October,Fall
2476,Bradgate Arms - 2nd & 6th Fl,54 Foxbar Rd,Retirement Home,Respiratory,Coronavirus,2022-10-28,2022-11-12,Inactive,-79.40082,43.6866,2022,October,Fall
2477,Nisbet Lodge - 10th Fl,740 Pape Ave,LTCH,Respiratory,Rhinovirus,2022-10-28,2022-11-16,Inactive,-79.3456271,43.6804485,2022,October,Fall
2478,Scarborough Health Network - Birchmount - 3D,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-28,2022-11-09,Inactive,-79.309054,43.801891,2022,October,Fall
2479,Unity Health Toronto - Providence - A5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-28,2022-11-06,Inactive,-79.2861565,43.7135926,2022,October,Fall
2480,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-28,2022-11-05,Inactive,-79.2861565,43.7135926,2022,October,Fall
2481,Centre For Addiction and Mental Health - Queen Street Site - Unit 1-2,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2022-10-27,2022-11-15,Inactive,-79.4186199,43.6438339,2022,October,Fall
2482,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-10-27,2022-11-27,Inactive,-79.1980788,43.7451732,2022,October,Fall
2483,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-14,Inactive,-79.450101,43.639359,2022,October,Fall
2484,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-10,Inactive,-79.450101,43.639359,2022,October,Fall
2485,University Health Network - Toronto General - 6MA,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-27,2022-11-11,Inactive,-79.3869528,43.6583672,2022,October,Fall
2486,West Park Healthcare Centre - 2EC (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-27,2022-11-13,Inactive,-79.5098225,43.687805,2022,October,Fall
2487,Amica Bayview Gardens - 2nd Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2022-10-26,2022-11-11,Inactive,-79.38257754978882,43.76690666292305,2022,October,Fall
2488,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2022-10-26,2022-11-14,Inactive,-79.4326664,43.6356584,2022,October,Fall
2489,Norfinch Care Community - Unit 2A,22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2022-10-26,2022-10-31,Inactive,-79.52465315351665,43.75628127207558,2022,October,Fall
2490,Sage Care Retirement Home - POD ABC 2nd Fl & 3rd Fl,147 Elder St,Retirement Home,Respiratory,Metapneumovirus,2022-10-26,2022-11-14,Inactive,-79.454186,43.7626531,2022,October,Fall
2491,University Health Network - Toronto General - 13ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-26,2022-11-09,Inactive,-79.3869528,43.6583672,2022,October,Fall
2492,Baycrest Hospital - North York - 3 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-11-12,Inactive,-79.4361036,43.7292745,2022,October,Fall
2493,Baycrest Hospital - North York - 6 East,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-11-11,Inactive,-79.4361036,43.7292745,2022,October,Fall
2494,Main Street Terrace - 3rd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2022-10-25,2022-11-16,Inactive,-79.29894248888888,43.681406233333334,2022,October,Fall
2495,"Presentation Manor For Seniors - 1st Fl (AL), 3rd Fl (IL&AL), 4th Fl (IL)",61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-25,Inactive,-79.2829526,43.7160464,2022,October,Fall
2496,Terraces of Baycrest - 3rd Fl,55 Ameer Ave,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-13,Inactive,-79.4410166,43.7294379,2022,October,Fall
2497,The Dunfield Retirement Residence - Library,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-11-07,Inactive,-79.3950841875,43.7066295625,2022,October,Fall
2498,University Health Network - Bickle Centre - North 5A,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-25,2022-10-30,Inactive,-79.433068,43.634967,2022,October,Fall
2499,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Respiratory,Coronavirus,2022-10-25,2022-12-04,Inactive,-79.502215,43.70758,2022,October,Fall
2500,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,2022-10-24,2022-11-10,Inactive,-79.1825648,43.7754026,2022,October,Fall
2501,Humber River Hospital - Wilson - 14 East,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-24,2022-11-04,Inactive,-79.4894019,43.7227577,2022,October,Fall
2502,The Russell Hill Retirement Residence - 2nd Fl,262 St. Clair Avenue W,Retirement Home,Respiratory,Coronavirus,2022-10-24,2022-11-17,Inactive,-79.408107,43.685389,2022,October,Fall
2503,Weston Terrace Care Community - 4A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2022-10-24,2022-11-29,Inactive,-79.51072231818182,43.70133497272727,2022,October,Fall
2504,"Advent Forestview Retirement Residence - 2nd, 3rd & 4th Fl",537 Finch Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-23,2022-11-10,Inactive,-79.4445616781496,43.770250950000005,2022,October,Fall
2505,University Health Network - Princess Margaret - 15C,610 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-23,2022-11-02,Inactive,-79.390408,43.65813,2022,October,Fall
2506,Dom Lipa - K-Wing,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-06,Inactive,-79.56570787160844,43.62911145,2022,October,Fall
2507,"Greenview Lodge - 1st, 2nd & 3rd Fl",880 Lawrence Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-21,2022-11-07,Inactive,-79.348753,43.736263,2022,October,Fall
2508,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-10-21,2022-11-08,Inactive,-79.3957197,43.6732425,2022,October,Fall
2509,Seven Oaks - Scarborough - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-15,Inactive,-79.2034339,43.7794412,2022,October,Fall
2510,The Kensington Gardens - 1W & 2W,25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2022-10-21,2022-11-14,Inactive,-79.40368867487679,43.6581346,2022,October,Fall
2511,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Coronavirus,2022-10-20,2022-11-05,Inactive,-79.392388,43.7850419,2022,October,Fall
2512,Hazelton Place Retirement Residence - 3rd & 6th Fl,111 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-14,Inactive,-79.3957197,43.6732425,2022,October,Fall
2513,New Horizons Tower - 16th Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-14,Inactive,-79.43604266376147,43.659954600000006,2022,October,Fall
2514,Shepherd Lodge,3760 Sheppard Avenue East,LTCH,Respiratory,Coronavirus,2022-10-20,2022-12-09,Inactive,-79.294078,43.782836,2022,October,Fall
2515,"The Millwood - Dining, 3rd & 4th Fl",921 Millwood Road,Retirement Home,Respiratory,Coronavirus,2022-10-20,2022-11-15,Inactive,-79.363404,43.703017,2022,October,Fall
2516,Dom Lipa,52 Neilson Dr,Retirement Home,Respiratory,Coronavirus,2022-10-19,2022-11-06,Inactive,-79.56570787160844,43.62911145,2022,October,Fall
2517,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,Respiratory syncytial virus,2022-10-19,2022-11-07,Inactive,-79.5994248,43.7307129,2022,October,Fall
2518,Scarborough Health Network - Birchmount - 4B,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-19,2022-11-01,Inactive,-79.309054,43.801891,2022,October,Fall
2519,The Teddington - 2nd & 4th Fl,4 Teddington Park Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-19,2022-11-07,Inactive,-79.4040004,43.733129,2022,October,Fall
2520,Trillium Health Partners - McCall Continuing Care - Chronic/Rehab - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-19,2022-11-15,Inactive,-79.562235,43.610033,2022,October,Fall
2521,Villa Colombo Homes for the Aged - 1st Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Coronavirus,2022-10-19,2022-11-14,Inactive,-79.45668174072816,43.71094909999999,2022,October,Fall
2522,William Osler Health System - Etobicoke - 6 West,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-19,2022-10-29,Inactive,-79.5991896,43.7306053,2022,October,Fall
2523,Amica On The Avenue - 5th Fl,1066 Avenue Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2022-10-18,2022-10-28,Inactive,-79.410136,43.705781,2022,October,Fall
2524,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 3rd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-18,2022-11-04,Inactive,-79.3026915478865,43.6778819,2022,October,Fall
2525,Centre For Addiction and Mental Health - Queen Street Site - GAU A,1001 Queen Street West,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-18,2022-10-28,Inactive,-79.4186199,43.6438339,2022,October,Fall
2526,"Delmanor Northtown - 2nd, 6th & 7th Fl",5351 Yonge St,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-10-28,Inactive,-79.4142461,43.7752997,2022,October,Fall
2527,Don Mills Seniors' Apartments - 2nd Fl,1055-1057 Don Mills Rd,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-10-27,Inactive,-79.3432024,43.7359965,2022,October,Fall
2528,Donway Place,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-10-18,2022-11-04,Inactive,-79.340067,43.733914,2022,October,Fall
2529,University Health Network - Princess Margaret - 15B,610 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-18,2022-10-30,Inactive,-79.390408,43.65813,2022,October,Fall
2530,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Coronavirus,2022-10-17,2022-10-31,Inactive,-79.48187197868482,43.71729432043269,2022,October,Fall
2531,Scarborough Health Network - Scarborough General - T7 - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-17,2022-10-30,Inactive,-79.246316,43.7566259,2022,October,Fall
2532,"Scarborough Retirement Residence - 2nd, 3rd, 4th, 5th, 6th & 7th Fl",148 Markham Rd,Retirement Home,Enteric,Norovirus-like,2022-10-17,2022-10-31,Inactive,-79.2180677,43.7407432,2022,October,Fall
2533,"St. George Care Community - 1st, 2nd, 3rd, 4th & 5th Fl",225 St. George St,LTCH,Respiratory,Coronavirus,2022-10-17,2022-11-18,Inactive,-79.401462,43.672538,2022,October,Fall
2534,Delmanor Wynford - 3rd & 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2022-10-16,2022-11-03,Inactive,-79.326262,43.724681,2022,October,Fall
2535,St. Clair O'Connor Community Nursing Home - 3rd Fl (LTCH Area),2701 St Clair Avenue East,LTCH,Respiratory,Coronavirus,2022-10-16,2022-11-03,Inactive,-79.3117512,43.7055002,2022,October,Fall
2536,The Annex,123 Spadina Rd,Retirement Home,Respiratory,Coronavirus,2022-10-16,2022-11-04,Inactive,-79.405505,43.67175,2022,October,Fall
2537,Kipling Acres - 3 South (Thistletown),2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2022-10-15,2022-11-07,Inactive,-79.571631,43.725014,2022,October,Fall
2538,Scarborough Health Network - Scarborough General - 4C - Medicine,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-15,2022-11-21,Inactive,-79.246316,43.7566259,2022,October,Fall
2539,University Health Network - Bickle Centre - S5,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-15,2022-11-07,Inactive,-79.433068,43.634967,2022,October,Fall
2540,Bendale Acres - 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2022-10-14,2022-10-20,Inactive,-79.2516534,43.7543919,2022,October,Fall
2541,Chartwell Avondale Retirement Residence - 2nd & 3rd Fl,1238 Queen Street,Retirement Home,Respiratory,Coronavirus,2022-10-14,2022-11-14,Inactive,-79.32981058251278,43.663651349999995,2022,October,Fall
2542,Harmony Hills Care Community - Toronto - 1A,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2022-10-14,2022-10-31,Inactive,-79.30522822012195,43.7204409,2022,October,Fall
2543,Jewish Home for the Aged - Unit 4E1,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-10-14,2022-11-21,Inactive,-79.4361036,43.7292745,2022,October,Fall
2544,Sinai Health System - Mount Sinai - 10N,600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-10-27,Inactive,-79.390445,43.657536,2022,October,Fall
2545,"The O'Neill Centre - 2nd, 3rd & 4th Fl",33 Christie St,LTCH,Respiratory,Coronavirus,2022-10-14,2022-11-29,Inactive,-79.4186528,43.6647391,2022,October,Fall
2546,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-10-28,Inactive,-79.450101,43.639359,2022,October,Fall
2547,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-14,2022-11-12,Inactive,-79.3869528,43.6583672,2022,October,Fall
2548,Cheltenham Care Community - 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2022-10-13,2022-10-29,Inactive,-79.44484073636364,43.78182523636364,2022,October,Fall
2549,"Hellenic Home - Ground Fl, 2A & 3A",2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-13,2022-11-11,Inactive,-79.2746356,43.7493249,2022,October,Fall
2550,"Kensington Place Retirement Residence - 2nd, 3rd, 4th, 5th & 6th Fl",866 Sheppard Avenue,Retirement Home,Respiratory,Coronavirus,2022-10-13,2022-11-07,Inactive,-79.1089196,43.8241454,2022,October,Fall
2551,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-13,2022-10-30,Inactive,-79.2468577,43.7550969,2022,October,Fall
2552,Unity Health Toronto - Providence - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-13,2022-11-04,Inactive,-79.2861565,43.7135926,2022,October,Fall
2553,Castleview Wychwood Towers - 4th & 7th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2022-10-12,2022-11-08,Inactive,-79.42113793274277,43.673349,2022,October,Fall
2554,Cedarbrook Lodge TCU - Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Transitional Care,Respiratory,Coronavirus,2022-10-12,2022-11-14,Inactive,-79.2241579,43.7554562,2022,October,Fall
2555,North York General Hospital - General Site - 7N,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-12,2022-10-31,Inactive,-79.362213,43.7699003,2022,October,Fall
2556,One Kenton Place - Programs Rm & 3rd Fl,1 Kenton Dr,Retirement Home,Respiratory,Metapneumovirus,2022-10-12,2022-10-31,Inactive,-79.4432169,43.77803,2022,October,Fall
2557,The Village of Humber Heights - Etobicoke - Becker Fl 3,2245 Lawrence Avenue West,Retirement Home,Respiratory,Coronavirus,2022-10-12,2022-10-24,Inactive,-79.527245,43.6972121,2022,October,Fall
2558,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,Coronavirus,2022-10-11,2022-10-21,Inactive,-79.39325999536922,43.6553005,2022,October,Fall
2559,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-11,2022-10-20,Inactive,-79.4059789,43.6537982,2022,October,Fall
2560,West Park Healthcare Centre - 2EA (Geriatric Functional Enhancement),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-11,2022-10-23,Inactive,-79.5098225,43.687805,2022,October,Fall
2561,Extendicare Rouge Valley - Clark House,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2022-10-10,2022-10-21,Inactive,-79.1894286,43.8029937,2022,October,Fall
2562,Scarborough Health Network - Scarborough General - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-10,2022-10-30,Inactive,-79.246316,43.7566259,2022,October,Fall
2563,Unity Health Toronto - St. Michael's - 9CCV,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-10,2022-10-26,Inactive,-79.3784327,43.6542289,2022,October,Fall
2564,Isabel and Arthur Meighen Manor - Moore Unit,155 Millwood Rd,LTCH,Respiratory,Coronavirus,2022-10-09,2022-10-24,Inactive,-79.39273938941177,43.70006920470588,2022,October,Fall
2565,The Wexford - 4th & 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-10-09,2022-11-07,Inactive,-79.3024148,43.7438388,2022,October,Fall
2566,Amica Bayview Village,15 Barberry Pl,Retirement Home,Respiratory,Coronavirus,2022-10-08,2022-11-18,Inactive,-79.3841852,43.7658146,2022,October,Fall
2567,"Altamont Care Community - Wing 1, 3 & 4",92 Island Rd,LTCH,Respiratory,Coronavirus,2022-10-07,2022-11-07,Inactive,-79.13997840570175,43.7988385,2022,October,Fall
2568,Kingsway - 5th Fl,4251 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2022-10-07,2022-10-27,Inactive,-79.513986,43.6591255,2022,October,Fall
2569,North York General Hospital - General Site - 6W,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-07,2022-10-16,Inactive,-79.362213,43.7699003,2022,October,Fall
2570,Tendercare Living Centre - 2 West & 2 East,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-10-07,2022-10-29,Inactive,-79.3361316,43.8042581,2022,October,Fall
2571,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 5th Fl",520 Markham Road,Retirement Home,Respiratory,Coronavirus,2022-10-06,2022-10-31,Inactive,-79.2241579,43.7554562,2022,October,Fall
2572,Michael Garron Hospital - CIU,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-06,2022-10-14,Inactive,-79.3236782,43.6896572,2022,October,Fall
2573,Presentation Manor For Seniors - 4th Fl(Il),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2022-10-06,2022-10-18,Inactive,-79.2829526,43.7160464,2022,October,Fall
2574,Shepherd Lodge - 4th Fl South,3760 Sheppard Ave E,LTCH,Respiratory,Coronavirus,2022-10-06,2022-10-24,Inactive,-79.294078,43.782836,2022,October,Fall
2575,Sinai Health System - Hennick Bridgepoint - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-06,2022-10-18,Inactive,-79.3554469,43.6658608,2022,October,Fall
2576,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2022-10-06,2022-11-05,Inactive,-79.5667899,43.7373503,2022,October,Fall
2577,Craiglee Nursing Home - 1 West & 2 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2022-10-05,2022-10-14,Inactive,-79.2528019,43.7067792,2022,October,Fall
2578,Scarborough Health Network-Scarborough General - 3C Surgery,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-05,2022-10-16,Inactive,-79.246316,43.7566259,2022,October,Fall
2579,University Health Network - Toronto General - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-05,2022-10-24,Inactive,-79.3869528,43.6583672,2022,October,Fall
2580,RCC - Humber River Hospital - Church Site - C2N,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-04,2022-10-25,Inactive,-79.510442,43.709345,2022,October,Fall
2581,RCC - Unity Health Toronto - St. Joseph's - Church Site - 4th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-04,2022-10-16,Inactive,-79.510442,43.709345,2022,October,Fall
2582,Ukrainian Canadian Care Centre - Etobicoke - 2nd & 3rd Fl,60 Richview Road,LTCH,Respiratory,Coronavirus,2022-10-04,2022-11-01,Inactive,-79.5200627,43.6838785,2022,October,Fall
2583,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-03,2022-10-17,Inactive,-79.3026915478865,43.6778819,2022,October,Fall
2584,"Chartwell Gibson Long Term Care Residence - 1st, 2nd, 3rd & 4th Fl",1925 Steeles Ave E,LTCH,Respiratory,Coronavirus,2022-10-03,2022-11-09,Inactive,-79.3758609,43.807618,2022,October,Fall
2585,Chester Village - 4E,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2022-10-03,2022-10-31,Inactive,-79.27409672758621,43.69413068275862,2022,October,Fall
2586,Runnymede Healthcare Centre - 2 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2022-10-03,2022-10-18,Inactive,-79.481008,43.664497,2022,October,Fall
2587,William Osler Health System - Etobicoke - 7 East,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-03,2022-11-07,Inactive,-79.5991896,43.7306053,2022,October,Fall
2588,Castleview Wychwood Towers - 6th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,2022-10-02,2022-10-12,Inactive,-79.42113793274277,43.673349,2022,October,Fall
2589,Wellesley Central Place - 2E,160 Wellesley St E,LTCH,Respiratory,Coronavirus,2022-10-01,2022-10-31,Inactive,-79.375496,43.667154,2022,October,Fall
2590,William Osler Health System - Etobicoke - 10 East,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-01,2022-10-16,Inactive,-79.5991896,43.7306053,2022,October,Fall
2591,William Osler Health System - Etobicoke - 7 West,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2022-10-01,2022-10-19,Inactive,-79.5991896,43.7306053,2022,October,Fall
2592,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-15,Inactive,-79.4361036,43.7292745,2022,September,Fall
2593,Lakeside Long Term Care Centre - Environmental Services Office & Laundry Area,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-11,Inactive,-79.4326664,43.6356584,2022,September,Fall
2594,Mon Sheong Scarborough Long Term Care Centre - 4 South,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2022-09-30,2022-10-14,Inactive,-79.2994857,43.8128599,2022,September,Fall
2595,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-29,2022-10-15,Inactive,-79.3026915478865,43.6778819,2022,September,Fall
2596,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Unable to identify,2022-09-28,2022-09-30,Inactive,-79.560686,43.64745,2022,September,Fall
2597,True Davidson Acres - 1st Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2022-09-28,2022-10-19,Inactive,-79.298175,43.69582,2022,September,Fall
2598,Unity Health Toronto - St. Michael's - 17th Fl,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-28,2022-10-14,Inactive,-79.3784327,43.6542289,2022,September,Fall
2599,Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2022-09-27,2022-10-12,Inactive,-79.567866,43.648303,2022,September,Fall
2600,RCC - Southlake Regional Health Centre - Finch Site - 5th Fl,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-27,2022-10-06,Inactive,-79.5260221,43.7536378,2022,September,Fall
2601,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2022-09-26,2022-10-14,Inactive,-79.38257754978882,43.76690666292305,2022,September,Fall
2602,Donway Place - 3rd Fl Independent Living (IL),8 The Donway E,Retirement Home,Respiratory,Coronavirus,2022-09-26,2022-10-07,Inactive,-79.340067,43.733914,2022,September,Fall
2603,Extendicare Bayview - South Unit,550 Cummer Ave,LTCH,Respiratory,Coronavirus,2022-09-26,2022-10-08,Inactive,-79.3904512,43.7932278,2022,September,Fall
2604,"Extendicare Scarborough - 1 South, 1 North, 2 Main, 2 East & 2 West",3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2022-09-26,2022-10-21,Inactive,-79.210221,43.763575,2022,September,Fall
2605,Deerwood Creek Care Community - Unit 2B & 3A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2022-09-25,2022-10-31,Inactive,-79.616344,43.731729,2022,September,Fall
2606,Wesburn Manor - 4 North & 4 South,400 The West Mall,LTCH,Respiratory,Coronavirus,2022-09-25,2022-10-26,Inactive,-79.567569,43.643719,2022,September,Fall
2607,The Salvation Army - Toronto Grace Health Centre - Specialized Care - 5th Fl ALC,1020 McNicoll Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2022-09-24,2022-10-22,Inactive,-79.3361316,43.8042581,2022,September,Fall
2608,Bendale Acres - 1st Fl (CSU) & 2E,2920 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2022-09-23,2022-10-07,Inactive,-79.2516534,43.7543919,2022,September,Fall
2609,"Chartwell Gibson Retirement Residence - 3rd, 4th & 5th Fl",1955 Steeles Ave E,Retirement Home,Respiratory,Coronavirus,2022-09-23,2022-10-14,Inactive,-79.3726983,43.8083147,2022,September,Fall
2610,Chartwell Guildwood Retirement Residence - 1st Fl,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2022-09-23,2022-10-03,Inactive,-79.1980788,43.7451732,2022,September,Fall
2611,Lakeside Long Term Care Home - 3rd Fl,155 Dunn Ave,LTCH,Respiratory,Unable to identify,2022-09-23,2022-10-11,Inactive,-79.43270419999999,43.636744425,2022,September,Fall
2612,Sinai Health System - Mount Sinai - Core Lab (Transfusion Medicine),600 University Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-04,Inactive,-79.390445,43.657536,2022,September,Fall
2613,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2022-09-23,2022-10-28,Inactive,-79.450101,43.639359,2022,September,Fall
