_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
402,Midland Gardens Care Community - 2nd & 4th Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,Parainfluenza,2023-07-31,2023-08-21,N
403,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-07-30,2023-08-22,N
404,Valleyview Residence - 4 West,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2023-07-30,2023-08-15,N
405,Hellenic Home For The Aged - Ground Fl Unit,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-07-29,2023-08-21,N
406,Hawthorne Place Care Centre - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-07-28,2023-08-11,N
407,St. Bernard's Residence - 2nd & 3rd Fl,685 Finch Ave W,Retirement Home,Respiratory,Rhinovirus,,2023-07-26,2023-08-08,N
408,Extendicare Rouge Valley - BSU,551 Conlins Rd,LTCH,Respiratory,COVID-19,,2023-07-25,2023-08-24,N
409,Sinai Health System - Hennick Bridgepoint - 9 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2023-07-25,2023-08-01,N
410,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,Rhinovirus,,2023-07-24,2023-08-05,N
411,Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-07-23,2023-08-07,N
412,The Village Of Humber Heights - Wadsworth Neighborhood,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,,2023-07-23,2023-08-14,N
413,The Teddington - 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,COVID-19,,2023-07-22,2023-07-31,N
414,Westside - 4th Fl East Wing,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,,2023-07-21,2023-08-04,N
415,"Craiglee Nursing Home - 2 East, 3 East & 3 West",102 Craiglee Dr,LTCH,Respiratory,COVID-19,,2023-07-20,2023-08-04,N
416,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-07-20,2023-07-31,N
417,Cummer Lodge - 3rd Fl,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,,2023-07-19,2023-08-04,N
418,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-07-19,2023-08-16,N
419,Kensington Gardens - The Kensington Health Centre - North Building,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,Parainfluenza,2023-07-19,2023-08-29,N
420,Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,COVID-19,,2023-07-19,2023-08-09,N
421,Kensington Gardens - The Kensington Health Centre - 3rd Fl,25 Brunswick Ave,LTCH,Enteric,Unable to identify,,2023-07-18,2023-07-23,N
422,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave East,LTCH,Respiratory,COVID-19,,2023-07-17,2023-07-31,N
423,William Osler Health System - 7E (Cardiology Unit),101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,,2023-07-17,2023-07-21,N
424,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2023-07-14,2023-07-21,N
425,UHN - Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,,2023-07-13,2023-08-02,N
426,Extendicare Bayview - South & East Unit,550 Cummer Ave,LTCH,Respiratory,Parainfluenza,,2023-07-12,2023-08-02,N
427,Fountainview Care Community - 3rd Fl,1800 O'Connor Dr,LTCH,Enteric,Unable to identify,,2023-07-12,2023-07-19,N
428,Terraces of Baycrest,55 Ameer Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2023-07-12,2023-07-22,N
429,Extendicare Bayview - East & South Units,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-07-11,2023-07-26,N
430,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,COVID-19,,2023-07-11,2023-07-24,N
431,Weston Terrace Care Community - 1A & 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-07-11,2023-08-11,N
432,Mon Sheong Scarborough Long Term Care Centre - 4th Fl (SPH Unit),2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-07-10,2023-07-20,N
433,Midland Gardens Care Community - 3rd Fl South,130 Midland Ave,LTCH,Respiratory,Rhinovirus,,2023-07-09,2023-07-24,N
434,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,COVID-19,,2023-07-08,2023-08-03,N
435,Villa Colombo - Unit 5 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,,2023-07-07,2023-08-03,N
436,The Wexford - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,,2023-07-05,2023-07-21,N
437,Kensington Gardens - 1W (North),45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,,2023-07-04,2023-07-16,N
438,Labdara Lithuanian Nursing Home - Unit 2,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,,2023-07-04,2023-07-22,N
439,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,,2023-07-04,2023-07-13,N
440,North York General Hospital - Seniors' Health Centre - 1st & 2nd Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-07-03,2023-07-20,N
441,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-07-01,2023-07-12,N
442,Delmanor Prince Edward - 4th Fl,4180 Dundas Street W,Retirement Home,Respiratory,COVID-19,,2023-06-30,2023-07-12,N
443,"Extendicare Rouge Valley - Morish House, 3rd Fl Unit",551 Conlins Rd,LTCH,Respiratory,COVID-19,,2023-06-30,2023-07-27,N
444,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus*,,2023-06-30,2023-07-08,N
445,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-06-29,2023-07-06,N
446,Retirement Suites By The Lake - 2nd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,,2023-06-28,2023-07-06,N
447,Kensington Gardens - The Kensington Health Centre - Unit 2,45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,,2023-06-27,2023-07-05,N
448,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,,2023-06-27,2023-07-05,N
449,The Jewish Home for the Aged - 5EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-06-27,2023-07-09,N
450,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,,2023-06-26,2023-07-06,N
451,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,,2023-06-26,2023-07-03,N
452,Villa Colombo Homes for the Aged - 2 Fusco North,40 Playfair Ave,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-06-26,2023-07-04,N
453,Amica Bayview Gardens - 3rd Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,,2023-06-25,2023-07-08,N
454,Unity Health Toronto - Houses of Providence - HOP 1 East - Redwood,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-06-23,2023-07-04,N
455,Tendercare Living Centre - 2 East & 3rd Fl,1020 Mcnicoll Ave,LTCH,Respiratory,Parainfluenza,,2023-06-21,2023-07-14,N
456,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus*,,2023-06-17,2023-06-27,N
457,Humber Meadows Long-Term Care Home - 4th Fl Cardinal North Unit,2109 Finch Ave W,LTCH,Enteric,Unable to identify,,2023-06-17,2023-06-26,N
458,Unity Health Toronto - Providence - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2023-06-16,2023-06-22,N
459,"Villa Colombo Homes for the Aged - 2 Fusco West, South & North",40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-06-16,2023-07-04,N
460,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2023-06-15,2023-07-01,N
461,Unity Health Toronto - Houses of Providence - HOP 1NE - Birch,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,,2023-06-15,2023-06-27,N
462,Donway Place - 3rd & 4th Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,Enterovirus,2023-06-14,2023-07-05,N
463,"Scarborough Retirement Residence - 2nd, 3rd, 6th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,COVID-19,,2023-06-13,2023-07-13,N
464,Chartwell Guildwood Retirement Residence - 2nd Fl (Memory Living),65 Livingston Rd,Retirement Home,Respiratory,COVID-19,,2023-06-12,2023-06-26,N
465,Unity Health Toronto - Houses of Providence - HOP 2NW - Pine,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-06-10,2023-06-20,N
466,Unity Health Toronto - Houses of Providence - HOP 2E - Spruce,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-06-09,2023-06-15,N
467,Weston Terrace Care Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-06-09,2023-06-28,N
468,Delmanor Prince Edward - 3rd & 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,COVID-19,,2023-06-08,2023-06-28,N
469,Donway Place - North York - 2nd & 3rd Fl,8 The Donway E,Retirement Home,Respiratory,COVID-19,,2023-06-07,2023-06-21,N
470,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (H1N1),,2023-06-07,2023-06-27,N
471,"Norfinch Care Community - Unit 1A, 2A, 2B & 3A",22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2023-06-07,2023-07-20,N
472,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Unable to identify,,2023-06-05,2023-06-12,N
473,Harmony Hills Care Community - 1A (Melody Lane) & 3A (Rainbow Valley),1800 O'Connor Drive,LTCH,Respiratory,COVID-19,,2023-06-05,2023-06-16,N
474,Scarborough Retirement Residence - 4th Fl,148 Markham Rd,Retirement Home,Respiratory,Rhinovirus,,2023-06-05,2023-06-12,N
475,Unity Health Toronto - Houses of Providence - HOP 2E - Chestnut,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-06-05,2023-06-16,N
476,McNicoll Manor/Moll Berczy Haus - 4 West,1020 McNicoll Ave,Retirement Home,Respiratory,COVID-19,,2023-06-04,2023-06-14,N
477,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,,2023-06-03,2023-06-15,N
478,Fudger House - 2 West,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2023-06-02,2023-06-12,N
479,"Yee Hong Centre - Scarborough Finch - 5th Fl, South",60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2023-06-01,2023-06-08,N
480,Dom Lipa - West 1 & West 2,52 Neilson Drive,LTCH,Respiratory,COVID-19,,2023-05-31,2023-06-20,N
481,Extendicare Scarborough - 1st & 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,,2023-05-31,2023-06-10,N
482,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,,2023-05-31,2023-06-22,N
483,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,,2023-05-31,2023-06-15,N
484,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,COVID-19,,2023-05-30,2023-06-19,N
485,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-05-30,2023-06-09,N
486,William Osler Health System - RCC Church - 5th Fl,200 Church Street,Transitional Care,Respiratory,COVID-19,,2023-05-30,2023-06-06,N
487,Cedarvale Terrace - 3rd & 5th Fl,429 Walmer Road,LTCH,Respiratory,COVID-19,,2023-05-29,2023-06-27,N
488,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,,2023-05-29,2023-06-07,N
489,North York General Hospital - General Site - 5 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-05-28,2023-06-14,N
490,Terraces of Baycrest - 6th Fl,55 Ameer Ave,LTCH,Respiratory,COVID-19,,2023-05-27,2023-06-03,N
491,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-05-27,2023-06-03,N
492,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Unable to identify,,2023-05-26,2023-06-04,N
493,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,COVID-19,,2023-05-26,2023-06-22,N
494,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus*,Respiratory syncytial virus,2023-05-26,2023-06-19,N
495,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-05-26,2023-06-01,N
496,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-05-25,2023-06-16,N
497,Belmont House,55 Belmont St,Retirement Home,Enteric,Norovirus,,2023-05-24,2023-06-06,N
498,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,,2023-05-24,2023-06-03,N
499,Centre for Addiction and Mental Health - Queen Street Site - PRT 6,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-05-23,2023-06-02,N
500,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,,2023-05-23,2023-06-01,N
501,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,,2023-05-23,2023-06-04,N
502,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-05-23,2023-05-31,N
503,Delmanor Wynford,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,,2023-05-22,2023-05-31,N
504,Hellenic Home - 3A,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-05-22,2023-06-07,N
505,Fairview Nursing Home - 1st Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,,2023-05-21,2023-05-29,N
506,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-5,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-05-17,2023-05-30,N
507,Craiglee Nursing Home - 2 East,102 Craiglee Dr,LTCH,Respiratory,COVID-19,,2023-05-17,2023-05-31,N
508,Retirement Suites by the Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,,2023-05-17,2023-05-30,N
509,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2023-05-16,2023-06-23,N
510,Castleview Wychwood Towers - 4W,351 Christie St,LTCH,Respiratory,COVID-19,,2023-05-15,2023-05-29,N
511,Midland Gardens Care Community - 2nd & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus*,Metapneumovirus,2023-05-15,2023-05-30,N
512,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,,2023-05-13,2023-05-29,N
513,Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-05-13,2023-05-23,N
514,TEHN - Atrium At Kew Beach - MGH Affiliated Unit - 2nd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,,2023-05-12,2023-05-18,N
515,University Health Network - Toronto Western - 5B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-05-12,2023-05-26,N
516,Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus*,,2023-05-11,2023-05-27,N
517,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,COVID-19,,2023-05-10,2023-05-16,N
518,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,COVID-19,,2023-05-09,2023-05-20,N
519,"Leaside Retirement Residence - 2nd Fl, 3rd Fl (MC) & 7th Fl Building 10",10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,,2023-05-09,2023-06-01,N
520,Belmont House,55 Belmont Street,Retirement Home,Respiratory,COVID-19,,2023-05-08,2023-05-15,N
521,Holland Bloorview Kids Rehabilitation Hospital - SODR (Rehab),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Parainfluenza PIV III,,2023-05-08,2023-05-12,N
522,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-3,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-05-05,2023-05-18,N
523,Fairview Nursing Home - 3rd Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,,2023-05-05,2023-05-16,N
524,"Fudger House - 1E, 1W, 2E & 3E",439 Sherbourne St,LTCH,Respiratory,COVID-19,,2023-05-04,2023-06-01,N
525,Scarborough Health Network - General Hospital - T7 - Med,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2023-05-04,2023-05-17,N
526,"Scarborough Retirement Residence - 2nd, 4th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus*,Parainfluenza,2023-05-04,2023-05-23,N
527,"Chester Village - 2E, 3E, 4E, 1W & 2W",3555 Danforth Ave,LTCH,Respiratory,COVID-19,,2023-05-03,2023-06-15,N
528,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Metapneumovirus,,2023-05-02,2023-05-18,N
529,North York General Hospital - Seniors' Health Centre - 2nd & 4th Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,,2023-05-02,2023-05-24,N
530,Lakeside Long Term Care Centre - 2nd & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,,2023-05-01,2023-05-18,N
531,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,,2023-05-01,2023-06-14,N
532,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,COVID-19,,2023-05-01,2023-05-16,N
533,Eatonville Care Centre - Unit 2 & 4,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,,2023-04-30,2023-05-11,N
534,Villa Colombo Homes for the Aged - 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,,2023-04-29,2023-05-08,N
535,Aspira Kensington Place Retirement Living - 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,Coronavirus*,Rhinovirus,2023-04-28,2023-05-11,N
536,Christie Gardens - Annex Neighbourhood & Seaton Neighbourhood,600 Melita Cres,LTCH,Respiratory,COVID-19,,2023-04-28,2023-05-15,N
537,The Village Of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,,2023-04-28,2023-05-15,N
538,Unity Health Toronto - St. Joseph's Health Centre - CYSTO Department,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,,2023-04-28,2023-05-03,N
539,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,,2023-04-27,2023-05-08,N
540,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,,2023-04-26,2023-05-04,N
541,Centre for Addiction And Mental Health - GAU-A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Streptococcus pyogenes,,2023-04-26,2023-05-15,N
542,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,,2023-04-26,2023-05-08,N
543,One Kenton Place - 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,COVID-19,,2023-04-26,2023-05-04,N
544,Pine Villa Transitional Care,1035 Eglinton Ave W,Hospital-Chronic Care,Enteric,Norovirus,,2023-04-26,2023-05-03,N
545,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Rhinovirus,,2023-04-26,2023-05-01,N
546,North York General Hospital - General Site - 5W (Medicine/Rehab),4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-25,2023-05-09,N
547,Sunnybrook Health Sciences Centre - F2 & PICU,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus*,,2023-04-25,2023-05-06,N
548,New Horizons Tower - 9th Fl,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,,2023-04-24,2023-05-03,N
549,Presentation Manor for Seniors - 2nd Fl (IL & AL) & 3rd Fl (IL & AL),61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,,2023-04-24,2023-05-10,N
550,Cummer Lodge - 3 North & 4 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-04-23,2023-05-13,N
551,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Enteric,Unable to identify,,2023-04-22,2023-05-01,N
552,Valleyview Residence - 2E & 2W,541 Finch Ave W,LTCH,Respiratory,Parainfluenza,,2023-04-22,2023-05-23,N
553,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,COVID-19,,2023-04-22,2023-05-18,N
554,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,,2023-04-21,2023-05-05,N
555,Midland Gardens Care Community - 5th & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus*,Metapneumovirus,2023-04-20,2023-05-12,N
556,Norfinch Care Community - Unit 3A,22 Norfinch Dr,LTCH,Respiratory,Metapneumovirus,,2023-04-20,2023-05-03,N
557,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,COVID-19,,2023-04-20,2023-04-27,N
558,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-04-19,2023-04-28,N
559,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,COVID-19,,2023-04-19,2023-04-29,N
560,RCC - William Osler Health System - Church Site - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-04-19,2023-04-24,N
561,"Bendale Acres - 2 West, 3rd & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2023-04-18,2023-05-26,N
562,Harmony Hills Care Community - 2nd Fl,1800 O'Connor Drive,LTCH,Respiratory,COVID-19,,2023-04-18,2023-04-27,N
563,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-04-18,2023-05-11,N
564,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,,2023-04-18,2023-04-26,N
565,The Briton House - 7th Fl (North Tower),700 & 720 Mount Pleasant Road,Retirement Home,Respiratory,COVID-19,,2023-04-18,2023-05-04,N
566,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,COVID-19,,2023-04-17,2023-04-27,N
567,Harold and Grace Baker Centre - A & C Wing,1 Northwestern Ave,LTCH,Respiratory,Metapneumovirus,,2023-04-17,2023-04-24,N
568,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-04-17,2023-04-27,N
569,Unity Health - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,,2023-04-17,2023-04-25,N
570,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-17,2023-04-28,N
571,University Health Network - Toronto Western - 9B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-17,2023-04-25,N
572,William Osler Health System - 10W Respirology Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-17,2023-05-03,N
573,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,COVID-19,,2023-04-16,2023-04-25,N
574,RCC - Mackenzie Health Hospital - Finch Site - 4 East,2111 Finch Ave W,Transitional Care,Respiratory,COVID-19,,2023-04-16,2023-04-26,N
575,RCC - Mackenzie Health Hospital - Finch Site - 3 (West & East),2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-04-15,2023-05-01,N
576,Shepherd Terrace Retirement Residence - 5th Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,COVID-19,,2023-04-14,2023-04-27,N
577,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,,2023-04-14,2023-05-13,N
578,"Altamont Care Community - Wing 1, 2 & 3",92 Island Rd,LTCH,Respiratory,COVID-19,,2023-04-13,2023-05-01,N
579,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,,2023-04-13,2023-04-27,N
580,RCC - Humber River Hospital - Church Site - A2N,200 Church Street,Transitional Care,Respiratory,COVID-19,,2023-04-13,2023-04-27,N
581,St. George Care Community - 5th Fl,225 St. George St,LTCH,Respiratory,Unable to identify,,2023-04-13,2023-04-20,N
582,RCC - Southlake Regional Health Centre - Finch Site - 6 West,2111 Finch Ave W,Transitional Care,Respiratory,COVID-19,,2023-04-12,2023-04-25,N
583,Amica On the Avenue - Main Fl (Dining Rm),1066 Avenue Rd,Retirement Home,Respiratory,COVID-19,,2023-04-11,2023-04-21,N
584,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl North,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-04-10,2023-04-17,N
585,Nisbet Lodge - 10th & 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2023-04-10,2023-04-26,N
586,Nisbet Lodge - 8th Fl,740 Pape Ave,LTCH,Enteric,Unable to identify,,2023-04-10,2023-04-25,N
587,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus,,2023-04-10,2023-04-19,N
588,"The Kensington Gardens - 3W, 4E & 4W",25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2023-04-10,2023-04-28,N
589,Unity Health Toronto - St. Michael's - 9CG,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-10,2023-04-18,N
590,Villa Colombo Homes for the Aged - 3 Fusco (North & South),40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,,2023-04-10,2023-05-01,N
591,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Respiratory syncytial virus,,2023-04-09,2023-04-21,N
592,Unity Health Toronto - St. Michael's - 7CCV,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,,2023-04-09,2023-04-22,N
593,Downsview Long Term Care Centre - Unit 2N,3595 Keele St,LTCH,Respiratory,Metapneumovirus,Rhinovirus,2023-04-07,2023-04-17,N
594,North York General Hospital - Seniors' Health Centre - 1st Fl East & West Wing,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,,2023-04-06,2023-04-18,N
595,One Kenton Place - 1st Fl,1-3 Kenton Dr,Retirement Home,Respiratory,COVID-19,,2023-04-06,2023-04-24,N
